seed,gust_amp,lift_bias,rate_scale,sigma_scale,delta,ebar,lag,nullrate,rate_max,rate_binds_pct,band_lost,jang,K_max
122,0.03275352145702124,-0.05959713659356966,1.1910626277650054,1.3529894781388785,1.9114018918867604,0.060914334456699915,0.22199973073363471,0.004329591651984821,0.513455601405596,0.0,False,0.06953624644948636,0.6038540395577627
123,0.06453996174362503,0.06197530646736429,1.2166421851190574,1.244639174736923,3.7830351218218166,0.06267038787879531,1.7038370927257982,0.00418320968386524,1.029988840927347,0.0,False,0.0676745997699466,24.713311494187977
124,0.046152647375528724,-0.09185346192226791,1.0039591924309947,0.7524785805321236,1.7908727783492386,0.09294541828006742,0.13756538883604516,0.004840612536070528,0.6569904541846442,0.0,False,0.07746745121831526,0.6420520632774281
125,0.055018884385115575,0.16698852666484645,1.1549258584631474,1.2776134508688024,2.9248717259938495,0.1677523284122453,0.17159500612414597,0.002661222854025502,0.6761716501872052,0.0,False,0.06498834123705777,1.5938743863913514
126,0.036183126503109994,-0.07000127719700477,1.2297621695528105,1.196300799608959,2.2089239910319765,0.07140837267278977,0.16427077308318802,0.003745571787660899,0.5020086477363228,0.0,False,0.05851240557267347,0.6361488484112745
127,0.06845409907912937,-0.17389193888816373,1.1444461400225097,0.8412645183786492,4.280252362695913,0.17459118231129567,0.22874283177640609,0.005261734637380147,0.5975363596958492,0.0,False,0.07659542149989869,1.7537168813554698
128,0.05173480082817397,-0.1791703338507589,1.02589109376389,1.0900734616614574,2.390255711191965,0.1798740304688936,0.29831642203293546,0.005086895274861604,0.635935284033764,0.0,False,0.0679579916428246,0.6636434235737834
129,0.04884347261268289,0.02079749479265392,1.2440805475250751,1.0497799872098172,1.0064562257303844,0.021465629906315176,0.18625257691515873,0.004535999359540991,0.7995959948119885,0.0,False,0.0730043245926132,0.5849130540793186
130,0.06877169738231753,0.014959139494455374,1.2065962798503045,1.2428918393653254,2.8942925506998156,0.015623454071690412,0.15879658784575953,0.004562200157374116,0.8421247271717659,0.0,False,0.07319365215214273,1.0152752133950198
131,0.03577555534811807,-0.02518956039303299,0.7205518106674541,0.8024719124926637,1.7020892751534977,0.027047479662297813,0.1944571001797841,0.0034252262710205835,0.9693683015034177,0.0,False,0.058084234700051536,0.57515391405951
132,0.053927632364628185,0.14081963356383567,0.7502357931726753,1.337776107831334,1.985568163424289,0.14190789885937094,0.19930606673276952,0.0006210300323279634,1.037446036369777,0.0,False,0.10173578269392389,0.759046892124196
133,0.06006541354630345,0.11354212218997296,1.1408562316613495,0.988728405222306,3.6742209042533243,0.11427131580504324,0.150659748453782,0.002647494812064304,0.7780706974091326,0.0,False,0.06261011511010857,0.9853531737423713
134,0.04484478272217891,0.11520222849198955,1.0111731297775324,1.3010905039451828,2.083050780620546,0.11593218008662243,0.16444958441108076,0.002648186485473721,0.8695556547895394,0.0,False,0.061964490471190965,0.7490002027140991
135,0.038690399289669906,-0.21344999689684255,1.21099991040592,0.830410286799395,3.259798474304522,0.2140001422465595,0.24393361039621742,0.004943296593704039,0.529981102204136,0.0,False,0.07549690698604776,0.7833064845720268
136,0.04935776049998272,-0.07652533241724176,0.8308039019163618,1.1802522066911352,2.8254321011928423,0.07794979314118111,0.23186520460976134,0.0037373865003735088,0.6601273418022457,0.0,False,0.061420512418735036,0.8598891404192048
137,0.048777009361420307,0.10423485473618879,0.7829070560170652,1.0069403184123575,3.9676048027177804,0.10495759053124054,0.23857131181921637,0.00264765737639352,1.220552609522396,0.0,False,0.06128081442124046,1.8245165026722667
138,0.06379347512204557,0.0030752294790714267,1.0533756509325978,0.7896494301431491,3.2593347504788817,0.003731767409527631,0.27175600306293834,0.0045182053844612475,0.8755915085717452,0.0,False,0.07550872954229094,6.576883275239204
139,0.06311059551378298,-0.0891855126227095,1.2639782225016098,0.7622673113420998,3.731886249108766,0.09019834685963501,0.31183937874608786,0.005392900687646481,0.5476959606129994,0.0,False,0.07738057091939951,1.0022895365508173
140,0.0318741697604363,0.25420949219235317,0.703120579168461,0.8465761280025723,1.8082950201863734,0.25539288084805567,0.2510691161308864,0.0007758957682373005,1.4952549291809736,0.0,False,0.10036944689833861,0.6355943315897901
141,0.052378075618708095,0.09476412540457081,0.8240438249101527,0.9499841910961305,3.216702662879209,0.09548066359647511,0.21207838673569177,0.006374832715645204,1.4060710593475323,36.171875,False,0.07334394703732633,1.8007467173972707
142,0.04142246263290727,-0.024763870628387894,0.8176032724470512,1.1776311654296103,1.9081062654114718,0.02662326271591897,0.178489544407894,0.0034252262656160434,0.896737493751667,0.0,False,0.05825490525803196,0.6208045589394454
