alpha,delta1,delta2,U,CL,CM,dstar_s,dstar_p,SPL
6,0,5,55,0.9205398500664784,-0.04625763073641955,0.0103065224315338,0.0007746592292357,78.38562301565113
6,0,5,70,0.9320876624430112,-0.04748391219157297,0.0098402792555458,0.0007414868362511,84.09802337138488
6,0,10,40,1.1291122819416777,-0.08621764269673232,0.0156261580771471,0.0007881283078583,71.45576340490362
6,0,10,55,1.14480889393274,-0.0884935501626991,0.0146220790782228,0.0007175111642747,79.35933469240939
6,0,10,70,1.1599139145882702,-0.09041117329455099,0.0139158510488823,0.0006690958127372,85.23714269648127
6,5,-10,40,0.5253408721230459,0.041985869456032394,0.006770779846743,0.0021506957353944,69.6658763419145
6,5,-10,55,0.5383031302705638,0.03907735902733113,0.0063664582336114,0.0016088443203841,76.84361124365375
6,5,-10,70,0.548143249568997,0.037639969493964295,0.0060787365840324,0.0013682752504116,82.38700232794825
6,5,-5,40,0.7711857980986981,-0.004828651460786441,0.0092292589479351,0.0013268926833166,70.44957313801203
6,5,-5,55,0.7937474579346195,-0.009298168174847792,0.0086190659566156,0.0011275480907054,77.84330516415628
6,5,-5,70,0.8072528227722171,-0.01117181027452698,0.0082051857918506,0.0010528971167113,83.47830610012339
6,5,0,40,1.0228703790407108,-0.05235477814932079,0.0125714330830751,0.0009165547516526,71.1918587515541
6,5,0,55,1.035027951432501,-0.05401745068961844,0.0117754868952632,0.0008100725280476,78.81529078774778
6,5,0,70,1.049653947859562,-0.055824840470701534,0.0111869062852916,0.0008008857929924,84.56749688009202
6,5,5,40,1.2389251959594647,-0.09374378084227827,0.0173998171086241,0.0008102242081078,71.40390243595724
6,5,5,55,1.258506605600631,-0.09668476419241955,0.0161480471837879,0.0007953365270209,79.54480124587339
6,5,5,70,1.2767298054564935,-0.09908542365197825,0.0152989597929771,0.0007657950690215,85.49907320789161
6,5,10,40,1.4036796050415257,-0.1241922038489406,0.0255047990921228,0.0007172615252306,69.57894941121545
6,5,10,55,1.4284243994480452,-0.1280007267218185,0.0237764192247952,0.0006575820602263,78.97408171576741
6,5,10,70,1.4517460783562484,-0.13125648334175197,0.0225627661746196,0.0006213113801409,85.77234578692462
6,10,-10,40,0.8970252361773189,-0.019760644069308504,0.0113520385163309,0.0018492160938726,71.18971543941727
6,10,-10,55,0.9025241275302252,-0.019884197523522978,0.0106547065337221,0.0016300084879367,78.67563143230713
6,10,-10,70,0.9102393972922356,-0.01989980218766138,0.0101497373964245,0.0015032518615255,84.345168523161
6,10,-5,40,1.1303746150935776,-0.06254866045265335,0.0154156550056057,0.0014487986941432,71.57873541744127
6,10,-5,55,1.14299069802267,-0.0640979564717912,0.0143686887810266,0.0013180514482499,79.43456236231724
6,10,-5,70,1.1557756740562342,-0.06520656953647938,0.013637476172588,0.0012340738426494,85.26753097328795
6,10,0,40,1.323864364440391,-0.0982635242881973,0.0214388612331923,0.0011018138317045,70.77515905535006
6,10,0,55,1.3465538427622332,-0.10161747173375033,0.019863058742176,0.0010157879011502,79.6104173288163
6,10,0,70,1.367943778723974,-0.10436448968270902,0.0187743112279165,0.0009630286439338,85.89601000431375
6,10,5,40,1.476735536312208,-0.12660080337814994,0.0310978102247174,0.0008351348920013,68.1603512544519
6,10,5,55,1.5042076320362412,-0.13072534843389438,0.0290228223318155,0.0007779881078915,77.7001553943006
6,10,5,70,1.5300821351205345,-0.13423154563772113,0.0275543570015765,0.0007439772652892,84.99615906403713
6,10,10,40,1.608192911092361,-0.15028247801284017,0.0447963744858735,0.0006676924366753,65.38757816425685
6,10,10,55,1.639157237461679,-0.15496618897007067,0.0422373782580298,0.0006243067993321,74.7374755916333
6,10,10,70,1.6677900167168724,-0.15893868370183578,0.0404061979491464,0.0005969515781187,81.99613432396436
9,-10,-10,40,-0.3016762313997395,0.22278823334448664,0.0032101314486382,0.002747224889226,67.30505981544789
9,-10,-10,55,-0.2997221652980301,0.22330545472861255,0.0030726857624468,0.0021807596827653,75.0038528801628
9,-10,-10,70,-0.2998712662754483,0.22466978286711792,0.0029881843315257,0.0018854741642386,81.13362491955657
9,-10,-5,40,-0.0139341302383549,0.16619383143936578,0.0043417330198844,0.0014341121571878,67.64382160194276
9,-10,-5,55,-0.0125205515471164,0.16707583537672407,0.0041635243140089,0.0012349052931425,75.77174716003564
9,-10,-5,70,-0.0123213972263496,0.1686276996677904,0.0040365839257252,0.0011371109165932,82.11377897149349
9,-10,0,40,0.2540780831656183,0.11442278083441092,0.0057828880298201,0.0012375917493873,68.655596758661
9,-10,0,55,0.25717525300811,0.11533247090103078,0.0054895394931337,0.0011192708642416,76.80475308230871
9,-10,0,70,0.2598233994005884,0.11656425251241852,0.0052852548746329,0.0010454349686615,83.1548951225298
9,-10,5,40,0.5146768772941319,0.06472973736142111,0.007533079254752,0.001122330663578,69.60575348659106
9,-10,5,55,0.5207172336391678,0.06495905737652428,0.007140137126149,0.0010008660214753,77.83362822064981
9,-10,5,70,0.5262946427280603,0.06547149158471294,0.0068653252775375,0.0009230866106811,84.20170279653757
9,-10,10,40,0.7639577113265685,0.01779786257185637,0.0103621250208088,0.000983112808185,70.7061820995735
9,-10,10,55,0.7731932595297298,0.017199677873191765,0.0097882124419976,0.0008678367772089,79.01721551858718
9,-10,10,70,0.7820393309627577,0.01688915059909199,0.0093806012275587,0.0007937140414931,85.43940398024043
9,-5,-10,40,0.1003151196070755,0.16121817000410563,0.0047988944823157,0.0029972432546169,68.6619218042021
9,-5,-10,55,0.0994230203318461,0.16213294145674328,0.0045627623611681,0.0023112662116273,76.44220586526906
9,-5,-10,70,0.1010152271128977,0.16305167801345635,0.0043966686546959,0.0019612450986764,82.6186041307597
9,-5,-5,40,0.3710591047072301,0.10805439590394716,0.0062181164142639,0.0018473080845964,69.23407467192445
9,-5,-5,55,0.3763333064136859,0.10790866271604882,0.0059060583283444,0.0015165841800804,77.2418269780891
9,-5,-5,70,0.3804962119307047,0.10845595618833487,0.0056863818101765,0.0013181141436192,83.50583318311888
9,-5,0,40,0.6302232844916457,0.05726166976661058,0.0082328368630592,0.0011100871399983,69.92258351799944
9,-5,0,55,0.6368449792747082,0.05699107786679552,0.0078011274335963,0.0009247764328387,78.15766458978146
9,-5,0,70,0.6437027068254024,0.05715615988596491,0.0074882858516789,0.0008240878959771,84.54775895346481
9,-5,5,40,0.8775911911949524,0.00944569277428703,0.0109471929330737,0.0008609929332356,70.87405541342035
9,-5,5,55,0.8873386508227978,0.008858831014885259,0.0102951842771241,0.0007792080776437,79.19455275085053
9,-5,5,70,0.8973396167771556,0.00849579490174606,0.0098342541582932,0.0007255843903288,85.61464994928158
9,-5,10,40,1.1088206065557324,-0.03408126577867316,0.0146360331595625,0.0007785538421186,71.70940656684054
9,-5,10,55,1.1226224282173736,-0.03555924388194623,0.0136984107463482,0.0006986400954297,80.23669538300858
9,-5,10,70,1.1361878974828192,-0.03673017466987491,0.0130472782206217,0.0006440101083429,86.71091430017718
9,0,-10,40,0.498235064619109,0.10059430215995183,0.0071259903990286,0.0027850063673944,69.92944603965329
9,0,-10,55,0.4955062730804885,0.10146138288318197,0.0067465875629816,0.0021318264026372,77.88454010049512
9,0,-10,70,0.5005965358985801,0.10137135893261652,0.0064666074334474,0.0017820990156539,84.09969576904297
9,0,-5,40,0.7265136159898633,0.05538200516647391,0.0095058518955426,0.0016764764671962,70.61085617066573
