seed,gamma,whole_max,settled_max,descent
20,5.0,0.06322373596844355,0.047140880405431185,2.2461706238314605
21,5.0,0.0637931081251304,0.028931498589536586,0.8781551709854796
22,5.0,0.0962736238285038,0.07323201328387352,0.6897592843629923
23,5.0,0.08070045805872827,0.0742434199919817,1.3001205128213655
24,5.0,0.05647432332314972,0.05647432332314972,0.6199886866443052
25,5.0,0.06485889017460544,0.046101287835685456,0.9601214827661408
26,5.0,0.060435569316675375,0.06013625823592239,2.0690749937121495
27,5.0,0.04895674044152121,0.04866516387601383,2.244610358776839
28,5.0,0.04219340563610685,0.028548099208069333,2.132105551429902
29,5.0,0.09418021413473854,0.09418021413473854,2.2828160669900086
0,8.0,0.1071268173689981,0.04784157608506967,1.9187279523243745
1,8.0,0.06403307646035783,0.037390952181404646,1.180569051286085
2,8.0,0.1199535016846287,0.11100664677349736,2.199149805055555
3,8.0,0.13509399039825243,0.13509399039825243,1.7773097681513548
4,8.0,0.05689036851515317,0.035225265708994424,2.234367838977704
5,8.0,0.08200464347803837,0.08200464347803837,2.255384180164313
6,8.0,0.07443290105252398,0.023802396494521982,2.023692263343804
7,8.0,0.0377925929620857,0.0377925929620857,2.1385690549180083
8,8.0,0.1138136915363388,0.1138136915363388,1.8260732482578703
9,8.0,0.11098173742047224,0.018429235386643983,1.9343243245531738
10,8.0,0.08090988569822843,0.08090988569822843,1.5475170713110344
11,8.0,0.06605384093689937,0.04104240959389038,2.2441878821982897
12,8.0,0.10199420643850332,0.08316499198568805,2.1923584450657074
13,8.0,0.10061507463717567,0.09387514375277939,2.2518893423689263
14,8.0,0.08631944591510021,0.026270103627937802,2.242466006199379
15,8.0,0.04310143064350003,0.03833341572828486,1.1653869746188832
16,8.0,0.08307612359057992,0.054600029640322845,1.874892275905438
17,8.0,0.07604253774254643,0.07604253774254643,0.961592547278002
18,8.0,0.07228710169916641,0.025330802194936775,0.46710964475177263
19,8.0,0.20628982704653653,0.08079988370353353,1.7111627332200499
20,8.0,0.059258321846947126,0.050193509652726176,2.2517368343730624
21,8.0,0.06378576002722025,0.028929712891895498,0.8781511527250672
22,8.0,0.09642065017583024,0.073232083288026,0.6896827722893306
23,8.0,0.08078059865808007,0.07433623615771556,1.3000609207507097
24,8.0,0.05691350276099172,0.05691350276099172,0.6200618075729523
25,8.0,0.06491057741569217,0.04610487786542383,0.9601124498384337
26,8.0,0.05892944486720908,0.05793453774925794,2.089091847408227
27,8.0,0.06988198944005752,0.045488727513654625,2.246614822574699
28,8.0,0.05705329549724114,0.027174260107626802,2.1400688207876044
29,8.0,0.09044579031917177,0.09044579031917177,2.285308177715649
0,12.0,0.11639419634227233,0.04701974136171305,1.9207922109836915
1,12.0,0.06362429960703397,0.03547631875015611,1.1804118296242763
2,12.0,0.12164892383321013,0.11311767165953945,2.2033961496748304
3,12.0,0.12336043617754955,0.12336043617754955,1.8233698269361867
4,12.0,0.08094154664581343,0.0443686817626352,2.2317846004389423
5,12.0,0.10268474937380456,0.08918387222747803,2.2519975176623035
6,12.0,0.07414073854923098,0.023813545189793395,2.0236177023527517
7,12.0,0.04019945661117208,0.03698878463013333,2.144805760528982
8,12.0,0.11256956391588879,0.11256956391588879,1.826126520589213
9,12.0,0.13698626558905302,0.018423918395304772,1.9342983860029932
10,12.0,0.08092717469695043,0.08092717469695043,1.5474964324372422
11,12.0,0.06633750947551587,0.04279664247368076,2.253490661108316
12,12.0,0.11401254929620741,0.08470675839276587,2.1964331521947003
13,12.0,0.10297265521348331,0.087027725353092,2.254573666757267
14,12.0,0.10516827743432189,0.025898903921240946,2.2485717734183623
15,12.0,0.04308622813848495,0.03832931068093215,1.16538768124272
16,12.0,0.10253467877055766,0.050718467791880384,1.8693894851017916
17,12.0,0.0760422190377188,0.0760422190377188,0.9615859813140446
18,12.0,0.08375977917335642,0.0254844074704923,0.4674304902534203
19,12.0,0.1491127481179182,0.07657661818122286,1.714765456295055
20,12.0,0.06437692808153672,0.051776342186042656,2.2525950903423677
21,12.0,0.0629259972666274,0.029506811687991297,0.8780599623602114
22,12.0,0.09579812883315886,0.07323219948810666,0.6896400095742479
23,12.0,0.08043096159852614,0.07421400841583381,1.3001309803298113
24,12.0,0.06557167665004937,0.057204607759729686,0.6201663137852904
25,12.0,0.06471385894884096,0.046090543607025136,0.9601122340081218
26,12.0,0.06363758155268617,0.06363758155268617,2.1072005788515185
27,12.0,0.09252515668588046,0.04448415172434905,2.2487573784462995
28,12.0,0.07364823266487286,0.0257011834913512,2.145318204015254
29,12.0,0.09079320965820803,0.09079320965820803,2.28192320570777
0,20.0,0.12630927203343423,0.04725691840779578,1.9227158567623235
1,20.0,0.06380332146468826,0.03556570785844304,1.1804301115899136
2,20.0,0.12077278656143187,0.11632036731600803,2.2123016646677627
3,20.0,0.11757617847519031,0.11757617847519031,1.7581465726840406
4,20.0,0.10845896175137715,0.05201483382288319,2.2400684466645657
5,20.0,0.12248091508093895,0.09597818500020039,2.247098744969705
6,20.0,0.08596159922649038,0.023856057771173278,2.0232958507476866
7,20.0,0.05873845590597182,0.03544062386100233,2.150729511439849
8,20.0,0.116680590954795,0.10887272338255172,1.825986666605587
9,20.0,0.13912343675126748,0.01761700268865085,1.934079440178465
