alpha,delta1,delta2,U,CL,dstar_s,dstar_p,SPL,dstar_s_c,dstar_p_c,H_s_c,alpha_eq,corr_ok,corr_reason,SPL_c,SPLA_c
3,-10,0,40,-0.4470716813730326,0.0022112857160882,0.0021708499227572,64.51394561494827,0.0026467132535775676,0.005298079140554371,0.8681620769533932,,False,outside the fitted design box,,
3,-10,0,55,-0.444003035773072,0.0021297593908797,0.0022386942849105,71.43943766766404,0.0025491334592185988,0.005463657053684397,0.8681620769533932,,False,outside the fitted design box,,
3,-10,0,70,-0.4403725928957765,0.0020775791655193,0.0025640814546825,76.90812780986771,0.0024866783485871483,0.00625778241384909,0.8681620769533932,,False,outside the fitted design box,,
3,-10,5,40,-0.1744737087672314,0.0030056105332187,0.0016367508088156,64.92873270479382,0.003187649270957363,0.00361720274678681,1.1878004777127515,,False,outside the fitted design box,,
3,-10,5,55,-0.175605174265282,0.0028804885472007,0.001514734052787,71.74733179846083,0.0030549491080111373,0.003347546949041979,1.1878004777127515,,False,outside the fitted design box,,
3,-10,5,70,-0.1757194987039527,0.0027927017398302,0.0015068152965541,76.93565256277014,0.0029618453776969586,0.00333004657779273,1.1878004777127515,,False,outside the fitted design box,,
3,-10,10,40,0.0963615199293615,0.0042536973432608,0.0013503809989644,65.80724443128273,0.003997423933573672,0.0027023914180354493,1.50743887847211,0.983313850637908,True,,65.39479534899586,64.61601914193834
3,-10,10,55,0.0966238994565209,0.0041037792434094,0.0012212807866916,72.6911765335848,0.0038565379814098845,0.0024440352163559807,1.50743887847211,0.983313850637908,True,,72.1188631228299,71.72351781551004
3,-10,10,70,0.0968977324429028,0.0040023403997896,0.0011630389966216,77.91261888820357,0.0037612105454035926,0.0023274813594986246,1.50743887847211,0.983313850637908,True,,77.25261862609753,77.08722180937006
3,-5,-10,40,-0.5759683726690922,0.0016892588548529,0.0033219648776142,64.76548309071117,0.00228182555820722,0.008953277193564892,0.5485236761940347,,False,outside the fitted design box,,
3,-5,-10,55,-0.5566618679913663,0.001578600877875,0.004150393148872,72.15778147747159,0.0021323504204198464,0.011186036485374072,0.5485236761940347,,False,outside the fitted design box,,
3,-5,-10,70,-0.5500486844742366,0.0015309827802567,0.0049800069035602,77.85841965307648,0.0020680286074149915,0.013421990862667833,0.5485236761940347,,False,outside the fitted design box,,
3,-5,-5,40,-0.3252754473860779,0.0022177388547919,0.002009039510743,64.39291465999872,0.0026544370893578084,0.004903171892646555,0.8681620769533932,,False,outside the fitted design box,,
3,-5,-5,55,-0.3214382886884024,0.0021316007844533,0.0020985670230256,71.33277292157365,0.002551337444321402,0.005121668731307667,0.8681620769533932,,False,outside the fitted design box,,
3,-5,-5,70,-0.317152370633912,0.0020707617455155,0.0023181594459126,76.71717774090027,0.002478518500337786,0.005657596168264594,0.8681620769533932,,False,outside the fitted design box,,
3,-5,0,40,-0.0548593952386549,0.0030100372179436,0.0015808711252051,64.87960402346044,0.003192344063639293,0.003493709210717172,1.1878004777127515,,False,outside the fitted design box,,
