alpha,delta1,delta2,U,CL,dCL_dalpha,dCL_dd1,dCL_dd2,dCL_dU,SPL,dSPL_dalpha,dSPL_dd1,dSPL_dd2,dSPL_dU,sigma
2.165419430432179215e+00,8.288426419043926074e-01,-2.784390124295576641e+00,6.540719681379921724e+01,1.638817534585540470e-01,1.134178970002202719e-01,7.690604943855235132e-02,5.258515206219634142e-02,4.028829023948439443e-05,7.629387537745924419e+01,8.737488980139259676e-01,2.093227171973012779e-01,1.109414140138914318e-01,2.774438767720258658e-01,4.800578872990006185e-01
8.893426474959170491e+00,2.155415028877342820e+00,-1.638009146448682785e+00,5.263761125797820029e+01,1.059696309085399468e+00,1.049954539090316163e-01,6.947092353532206832e-02,4.918059296892426241e-02,8.220573807006931449e-04,7.863366215277905269e+01,3.166443196435758667e-01,2.793730586933222404e-01,1.715233895819896770e-01,6.503844755537769862e-01,2.431458752081911978e-01
5.068488523717684657e+00,6.569063899922507943e+00,-6.371914218852660738e+00,6.677012371765695775e+01,7.453341341728139113e-01,1.117049660910718473e-01,7.709542070233649236e-02,5.294828462639583622e-02,5.598712422288306149e-04,8.170655923289159261e+01,1.504429580453341186e+00,3.985656743163373261e-01,2.272915770498388777e-01,2.298421281256760873e-01,3.981650852523488382e-01
5.117442872219307937e+00,8.836185363828970907e+00,4.202820656435264368e-01,6.506405683442604015e+01,1.230225359556028852e+00,1.004298527509649985e-01,5.854362297680137939e-02,4.018315611158885386e-02,1.108273751940047234e-03,8.337689477718900832e+01,1.355507542138991939e+00,1.733061931333205463e-01,6.136989048140643888e-02,3.131069449823788431e-01,4.960878255504967416e-01
7.612558423606065716e+00,-7.437042919945342945e+00,6.998352185583129881e-01,4.298042542478891903e+01,3.220746897074708293e-01,1.162141198228364286e-01,7.715260700088502621e-02,5.238998346520377936e-02,4.627618466371983061e-05,6.993757061427096744e+01,7.370673427421204904e-01,3.177053353372784605e-01,2.473916124288044194e-01,4.274385404527245580e-01,3.769878605588704024e-01
6.274874412340142982e+00,-5.391386511795611014e+00,-3.659122361276077484e+00,5.938762328346376762e+01,9.856179750452864763e-02,1.149692556567696866e-01,8.007085745511580144e-02,5.560712171705320395e-02,5.436824042469381053e-05,7.712812489217118639e+01,1.210452082207434943e+00,2.640699655510074240e-01,1.807415442942032491e-01,4.833079722125432354e-01,3.945663495036096369e-01
4.978631741273318312e+00,3.183167941411218393e+00,4.741761191045814172e+00,4.931483699487227312e+01,1.012538384085756693e+00,1.059190314917413944e-01,6.758360861245293894e-02,4.488072512435033190e-02,7.674319606077101893e-04,7.465959137895011111e+01,1.177676996775532947e+00,1.622471106623454007e-01,1.255384403848089359e-01,5.645920149563840029e-01,4.675496693337140020e-01
1.712256675309831166e-02,-7.350520223665029107e+00,-6.795951787616609785e+00,6.262159590949524102e+01,-8.781608001792885476e-01,9.193008911988730103e-02,6.421030181445301632e-02,3.982371070262642754e-02,-1.018481712868848704e-03,7.734693755714003771e+01,-1.240697916353002972e+00,-2.844011129651985992e-01,-2.068364123441398805e-01,3.646186825841715162e-01,5.368975152939469142e-01
1.107148150161024969e+00,-5.518427261073613366e+00,-6.149835620802893033e+00,5.627894972343194269e+01,-6.105127198971206370e-01,1.021007835660618784e-01,7.408685825712252315e-02,4.805338006793129224e-02,-2.677936590959824922e-04,7.284532588520842467e+01,-6.183222381025604841e-01,-2.163134837950305978e-01,-1.880032282565332613e-01,5.170969190536559568e-01,1.719293748167873559e-01
8.512732724702551934e+00,1.497251751782982865e+00,-2.909779639087879843e+00,5.372796623955150608e+01,9.092036114090626953e-01,1.083419708246492474e-01,7.161507744410883225e-02,5.168859691081181124e-02,7.376278426567123422e-04,7.873444811871868865e+01,5.749193980238630486e-01,3.109697927656758787e-01,1.944334042438262133e-01,6.296168933926652445e-01,1.565131769091326341e-01
6.292147161182366943e+00,-6.609525528675817441e+00,-2.432477331371614149e+00,6.686100353611186620e+01,6.979064929733480582e-02,1.164695058615948242e-01,8.056487194605732594e-02,5.473929707001129463e-02,-1.684603726441604121e-05,7.983736752309977192e+01,1.257401654466655749e+00,2.420814472894718405e-01,1.900089783987014835e-01,2.441117506424755890e-01,3.884532337517543898e-01
8.353925562203627919e+00,5.644603026475564889e+00,-5.874282869986913624e+00,4.171760679400502880e+01,1.030745391052865667e+00,1.011230385538912646e-01,7.108137927147306634e-02,4.968841391420229792e-02,7.494867692017020619e-04,7.252292968534500517e+01,1.968263385118656505e-01,2.232343614974118540e-01,1.454202304156013426e-01,4.158773785812915347e-01,2.578218959581304315e-01
1.146561987603511135e+01,7.139512522235204273e+00,8.374184102845362077e+00,5.671952877603938248e+01,1.844836484917951047e+00,3.095974947368355934e-02,2.009279682793627467e-02,1.460185605058015972e-02,3.039509303084819095e-03,8.352330235997162333e+01,3.707071975107878448e-01,-1.123915348229856948e-01,-4.265404518540234086e-02,8.453595317387152530e-01,2.131270087954169057e-01
8.194966252505009763e+00,-9.326515909943037030e+00,6.561871390938950555e+00,4.983733297890029235e+01,5.581172904526641165e-01,1.128936901481003702e-01,7.040713188190998728e-02,5.270234485337811636e-02,2.941269013751522210e-04,7.490152254282781996e+01,6.231183560836563995e-01,3.342161054988228019e-01,2.527602673125411425e-01,6.118628430874082369e-01,4.458180730918728796e-01
6.375442880754906838e-01,6.528960988734731075e-01,-7.862465114867172034e+00,4.105820008940388277e+01,-2.856632043302738122e-01,1.026901465906501498e-01,7.488638761912837227e-02,4.861140060323339285e-02,-4.937768310637906171e-04,6.496663885170295316e+01,-1.779427931807431029e-01,-1.227922475467446706e-01,-1.328859814155576580e-01,2.961095906426005064e-01,1.950017500855186769e-01
3.706232218365565600e+00,5.939027148871288020e+00,-2.610281686792319533e+00,6.260555556108752739e+01,7.395208756090264623e-01,1.104834248801661728e-01,7.598386534632541045e-02,5.046680505016444551e-02,5.851642967012831136e-04,7.905900504644156968e+01,1.467373124624164804e+00,3.856715684615730777e-01,2.437015966297110814e-01,3.650552082714835223e-01,5.275949904398959944e-01
