scenario,i,t,alpha,delta1,delta2,CL,s,sigma,flags
0.000000000000000000e+00,8.500000000000000000e+01,8.499999999999999778e-01,1.165518614958357269e+01,-2.214174281550342460e+00,3.813312198659724483e+00,1.298340834103934416e+00,-1.659165896065628587e-03,1.131788706154142760e-01,0.000000000000000000e+00
0.000000000000000000e+00,8.600000000000000000e+01,8.599999999999999867e-01,1.165172559629867877e+01,-2.268233961487491790e+00,3.850723200703937366e+00,1.300569673421279715e+00,5.696734212796705776e-04,1.131788706154142760e-01,0.000000000000000000e+00
0.000000000000000000e+00,8.700000000000000000e+01,8.699999999999999956e-01,1.167568274774379766e+01,-2.302334013063821239e+00,3.899923458582826186e+00,1.298340351487136779e+00,-1.659648512863265424e-03,1.131788706154142760e-01,0.000000000000000000e+00
0.000000000000000000e+00,8.800000000000000000e+01,8.800000000000000044e-01,1.167175319705804881e+01,-2.354438514987983844e+00,3.935380317065849898e+00,1.300573322650523167e+00,5.733226505231225900e-04,1.131788706154142760e-01,0.000000000000000000e+00
0.000000000000000000e+00,8.900000000000000000e+01,8.900000000000000133e-01,1.169528036103926638e+01,-2.386577752276724418e+00,3.982707224972674709e+00,1.298339907133013504e+00,-1.660092866986540017e-03,1.131788706154142760e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.000000000000000000e+01,9.000000000000000222e-01,1.169090087213317908e+01,-2.436814967800337239e+00,4.016295300252251010e+00,1.300576943396032803e+00,5.769433960327585709e-04,1.131788706154142760e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.100000000000000000e+01,9.100000000000000311e-01,1.171401673230582752e+01,-2.467080601759360281e+00,4.061831974134740619e+00,1.298339499045545242e+00,-1.660500954454802169e-03,1.131788706154142760e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.200000000000000000e+01,9.200000000000000400e-01,1.170920568990435662e+01,-2.515534401341033455e+00,4.093632964949907915e+00,1.300580537521325741e+00,5.805375213256969147e-04,1.131788706154142760e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.300000000000000000e+01,9.300000000000000488e-01,1.173192830600133618e+01,-2.544009650128731259e+00,4.137458876990854684e+00,1.298339125651698289e+00,-1.660874348301755177e-03,1.131788706154142760e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.400000000000000000e+01,9.400000000000000577e-01,1.172670342537652388e+01,-2.590760079965415130e+00,4.167550967012299878e+00,1.300584106616349267e+00,5.841066163492225627e-04,1.131788706154142760e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.500000000000000000e+01,9.500000000000000666e-01,1.174905022781197061e+01,-2.617524364466565778e+00,4.209742099598747345e+00,1.298338785573716958e+00,-1.661214426283086354e-03,1.131788706154142760e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.600000000000000000e+01,9.599999999999999645e-01,1.174342856250847866e+01,-2.662647832402745607e+00,4.238200099191015369e+00,1.300587652063765365e+00,5.876520637653204204e-04,1.131788706154142760e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.700000000000000000e+01,9.699999999999999734e-01,1.176541635193936486e+01,-2.687776960704022944e+00,4.278829093349616919e+00,1.298338477563533822e+00,-1.661522436466222885e-03,1.131788706154142760e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.800000000000000000e+01,9.799999999999999822e-01,1.175941430417264932e+01,-2.731346411627520787e+00,4.305724576775896928e+00,1.300591175069001793e+00,5.911750690017480991e-04,1.131788706154142760e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.900000000000000000e+01,9.899999999999999911e-01,1.178105925505841434e+01,-2.754912753290463812e+00,4.344860875048693671e+00,1.298338200479034032e+00,-1.661799520966011912e-03,1.131788706154142760e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+00,1.177459296563305102e+01,-2.796569640976446447e+00,4.369841308627856691e+00,1.300594676681098072e+00,5.946766810980275153e-04,1.191493506524573948e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.010000000000000000e+02,1.010000000000000009e+00,1.179581547265535768e+01,-2.818233223868390702e+00,4.407148948611898653e+00,1.298337955429230473e+00,-1.662044570769571905e-03,1.191493506524573948e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.020000000000000000e+02,1.020000000000000018e+00,1.178900832375563112e+01,-2.858509694708669446e+00,4.430737714017606521e+00,1.300598157714438763e+00,5.981577144387184575e-04,1.191493506524573948e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.030000000000000000e+02,1.030000000000000027e+00,1.180992703276492861e+01,-2.878781885221287418e+00,4.466717980223259055e+00,1.298337736582819035e+00,-1.662263417181009117e-03,1.191493506524573948e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.040000000000000000e+02,1.040000000000000036e+00,1.180279300106601958e+01,-2.917738977412828394e+00,4.488975300376132793e+00,1.300601618931257697e+00,6.016189312576525339e-04,1.191493506524573948e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.050000000000000000e+02,1.050000000000000044e+00,1.182342169783450814e+01,-2.936680370750955227e+00,4.523686500777728270e+00,1.298337546012333865e+00,-1.662453987666179245e-03,1.191493506524573948e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.060000000000000000e+02,1.060000000000000053e+00,1.181597419690964657e+01,-2.974376417715872467e+00,4.544670005892589515e+00,1.300605061187382283e+00,6.050611873822386855e-04,1.191493506524573948e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.070000000000000000e+02,1.070000000000000062e+00,1.183632611497554166e+01,-2.992044920980531764e+00,4.578167905619023870e+00,1.298337382677261065e+00,-1.662617322738979553e-03,1.191493506524573948e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.080000000000000000e+02,1.080000000000000071e+00,1.182857801411293153e+01,-3.028535674106665798e+00,4.597932741887356123e+00,1.300608485093112332e+00,6.084850931122876005e-04,1.191493506524573948e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.090000000000000000e+02,1.090000000000000080e+00,1.184866584755295982e+01,-3.044986631140135902e+00,4.630270672034796142e+00,1.298337245760046610e+00,-1.662754239953434521e-03,1.191493506524573948e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.100000000000000000e+02,1.100000000000000089e+00,1.184062948953669192e+01,-3.080325377224048644e+00,4.648869605659951887e+00,1.300611891145827315e+00,6.118911458272702220e-04,1.191493506524573948e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.110000000000000000e+02,1.110000000000000098e+00,1.186046540770915669e+01,-3.095611686436627874e+00,4.680098568122949665e+00,1.298337134531029502e+00,-1.662865468970542437e-03,1.191493506524573948e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.120000000000000000e+02,1.120000000000000107e+00,1.185215262653593626e+01,-3.129849359431874589e+00,4.697582085326300394e+00,1.300615279769008481e+00,6.152797690084366167e-04,1.191493506524573948e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.130000000000000000e+02,1.130000000000000115e+00,1.187174828977955343e+01,-3.144021585519442663e+00,4.727750853436566203e+00,1.298337048312654840e+00,-1.662951687345204377e-03,1.191493506524573948e-01,0.000000000000000000e+00
